Title,Ingredients,Steps
Soto Sapi Bandung,"400 gram daging sapi  -- 1 buah lobak ukurang sedang -- Untuk bumbu halus : -- 5 buah bawang merah -- 3 buah bawang putih -- 1 sdt garam -- 1 / 2 sdt gula -- Sedikit merica -- Bumbu lainnya  ( banyak nya bisa disesuaikan selera )  : -- 1 buah batang sereh -- 4-5 buah daun jeruk -- 2 ruas Jahe -- Secukupnya garam ,  gula ,  merica ,  penyedap bila perlu -- 1 , 5 sdm kecap manis -- Bahan pelengkap soto : -- Nasi hangat -- Irisan tomat -- Irisan jeruk nipis / limau / lemon -- Irisan timun -- Irisan daun bawang dan seledri -- Irisan daun seledri  -- Bawang merang goreng -- Sambal sederhana untuk soto : -- 3 buah bawang merah -- 4 buah cabe rawit / cabe merah -- 1 buah bawang putih -- Sedikit garam ,  gula ,  minyak goreng ,  penyedap -- ","Potong daging sapi besarnya sesuai selera  -- Cuci daging sapi kemudian rebus sekitar 20-30 menit. Kemudian buang airnya ,  tiriskan dulu dagingnya selagi pancinya dibersihkan pakai air sebentar supaya lemak yang masih menempel dipanci hilang. Masukan lagi dagingnya ke dalam panci dan beri lagi air secukupnya sekitar 2-2 , 5 liter air dan lanjut masak lagi sampai daging matang dan lembut -- Selagi daging direbus ,  bersihkan kulit lobak putih kemudian iris tipis semuanya -- haluskan atau blender kasar bumbu halus ,  kemudian tumis sampai harum dan tambahkan sereh dan jahe yang sudah digeprek terlebih dahulu dan juga daun jeruk. Ikut tumis 1-2 menit dengan bumbu halus -- Masukan bumbu yang sudah ditumis ke dalam panci yang berisi daging ,  kemudian aduk dan bumbui dengan bumbu lainnya spt garam gula merica kecap manis. Ketika daging sudah empuk baru masukan irisan lobaknya dan masak sampai lobaknya matang sambil dikoreksi lagi rasanya -- Sambil menunggu lobak matang ,  kita bisa buat sambal untuk sotonya. haluskan semua bahan sampai agak halus. -- Siapkan bahan-bahan pelengkap soto spt timun ,  tomat ,  jeruk ,  daun bawang ,  bawang goreng -- Ambil mangkuk dan soto siap dihidangkan dengan bahan pelengkap"
Tumis kentang daging sapi,Bumbu : -- 1 sdm gula -- 1 sdt garam -- Penyedap  ( optional )  -- 1 sdm kecap -- 1 sdm saos sambal -- 1 / 4 sdt merica bubuk -- Bahan : -- 1 / 4 kg daging sapi -- 1 buah kentang sedang -- 3 siung bawang merah -- 2 siung bawang putih -- 2 lembar daun salam -- 2 cm lengkuas -- 1 buah tomat kecil -- 3 buah cabe merah keriting -- 3 buah cabe hijau keriting -- Segenggam cabe rawit merah campur hijau -- 1 batang daun bawang --,"Cuci daging lalu potong dadu. -- Rebus daging sampai empuk. -- Iris semua bahan. -- Potong-potong kentang. -- Goreng kentang sampai berwarna sedikit keemasan. Kalau tidak suka di goreng ,  kentang boleh di rebus. Sesuai selera saja. -- Tumis sampai harum semua bumbu kecuali tomat dan daun bawang. Tambahkan air kaldu secukupnya sisa dari merebus daging. Masukan daging dan kentang. Beri garam ,  gula ,  penyedap ,  kecap ,  merica bubuk dan saos sambal. Setelah air sisa sedikit lalu masukan tomat dan daun bawang."
Tumis buncis bakso sapi,"250 gr buncis muda ,  bersihkan ,  cuci. potong-potong -- 5 buah bakso sapi ,  potong-potong -- 3 buah cabe merah keriting ,  cuci ,  potong serong -- 4 siung bawang merah ,  iris tipis -- 3 siung bawang putih ,  iris tipis -- 1 ruas lengkuas ,  cuci lalu geprek -- 1 lembar daun salam -- secukupnya Garam -- secukupnya Gula pasir -- ","Panaskan wajan ,  tuang minyak sayur sedikit. Tumis irisan bawang merah ,  bawang putih ,  cabe merah kriting ,  lengkuas ,  daun salam. Aduk-aduk sampai wangi. -- Tuang potongan buncis dan bakso sapi ,  aduk-aduk sebentar. Tambahkan garam dan gula pasir secukupnya. Aduk kembali. -- Tambahkan sedikit air matang ,  aduk-aduk. Diamkan sebentar agar bumbu meresap. -- Setelah air agak mengering angkat ,  sajikan. -- "
Sate Daging Sapi Rempah,"250 gr daging sapi impor yang sedikit lemak , potong dadu -- 2 sdm margarin palmia garlic -- Bumbu halus -- 3 siung bawang merah -- 2 siung bawang putih -- 3 butir kemiri , sangrai -- 1 1 / 2 sdt ketumbar , sangrai -- 1 / 4 sdt jinten -- 1 ruas jari lengkuas -- 1 batang serai ,  ambil bagian putihnya , potong-potong -- 1 ruas jari jahe -- 1 ruas jari kunyit -- bumbu pelengkap : -- 1 / 2 sdt merica bubuk -- 2 sdm air asam jawa -- 3 sdm kecap manis -- 1 sdm gula jawa -- 1 sdt kaldu bubuk -- ","Siapkan semua bahan. campurkan bumbu halus dengan bumbu pelengkap dalam 1 tempat ( mangkok )  , aduk rata -- Rendam potongan daging sapi kedalam bumbu halus yang telah dicampur bumbu pelengkap selama kurang lebih 1-3 jam. Perendaman ini sangat penting ya untuk membuat bumbu meresap kedalam serat-serat daging. -- Setelah itu ,  tusuk potongan daging dengan menggunakan tusukan sate dan bakar diatas bara api atau grill pan -- oleskan permukaan grill pan dengan margarin. -- Sesekali oleskan sisa bumbu tunggu beberapa saat lalu oleskan juga margarin pada sate , panggang hingga daging berubah warnanya menjadi kecoklatan dan kering. angkat dan hidangkan. -- Sate ini bisa dihidangkan dengan bumbu kacang atau sambal kecap atau pakai acar."
Daging Sapi Rica Rica,"600 gr daging sapi -- 2 batang sereh -- 6 lembar daun jeruk -- 2 buah tomat -- 2 buah kentang ,  goreng 3 / 4 matang.  ( boleh pake atau gak )  -- Bahan yang dihaluskan : -- 15 butir bawang merah -- 2 buah cabe merah besar -- 20 buah cabe rawit -- 3 butir kemiri -- 2 jempol jahe -- 1 jempol kunyit -- secukupnya Garam ,  gula ,  lada -- ","Siapkan bahan ,  tomat potong2 kecil ,  sereh geprek ,  jahe , kunyit dan kemiri haluskan halus ,  lalu bawang merah ,  cabe merah dan rawit blender kasar. -- Sambil mempersiapkan bumbu ,  daging sapinya direbus dulu sampai setengah empuk ,  atau bisa di presto + 10 menit setelah itu daging bisa dipotong2 sesuai selera ,  air rebusan daging dipakai buat tumisan nanti ya. -- Tumis semua bumbu  ( kecuali tomat )  ,  masak sampai harum. -- Masukkan tomat ,  tumis lagi hingga bumbu setengah matang dan tomat layu. -- Masukkan daging sapi ,  aduk-aduk hingga bumbu tercampur ,  lalu tambahkan garam ,  gula ,  lada. -- Masukkan air rebusan daging sapi secukupnya ,  aduk lalu masak hingga bumbu dan air meresap. -- Terakhir masukkan kentang ,  aduk rata ,  koreksi rasa jika kurang bisa ditambahkan garam ,  gula ,  dll aduk sebentar. -- Sajikan. -- "
Bubur Sayuran dan Daging Sapi,"Beras putih -- Brokoli ,  cincang -- Wortel , cincang -- Paprika ,  cincang -- Bawang bombai ,  cincang -- Bawang putih , cincang -- Daging Sapi ,  cincang -- Minyak Wijen -- Nori  ( opsional )  -- Wijen  ( opsional )  -- ",Tumis daging sapi dengan minyak Wijen di panci. -- Setelah kecoklatan masukkan bawang putih dan bombai. -- Setelah harum masukkan beras. -- Aduk2 beberapa saat -- Masukkan semua sayuran termasuk paprika. -- Masukkan air. -- Masak sampai jadi bubur. -- Setelah masak angkat.Tuang ke mangkok. -- Remek Nori.Taburi bubur dengan nori dan wijen. --
Sop kacang merah daging sapi,300 gram Daging sapi dipotong2 dadu -- Kacang merah  ( sesuka hati mau berapa banyak )  -- 4 siung Bawang merah -- 4 siung bawang putih -- 1 butir kemiri -- 1 batang Serai di memarkan -- Jahe di iris2 -- Daun bawang diiris2 -- Daun sop -- Wortel -- Bunga Kol -- Macaroni -- Garam -- Penyedap rasa -- Lada bubuk --,"Rebus kacang merah terlebih dahulu  ( airnya harus agak banyak yaa karena kacang merah masaknya agak lama sampai kacangnya jadi lembek kalau ditusuk )  -- Sambil menunggu kacang merah masak ,  kita bikin bawang gorengnya dulu -- Dari 4 siung bawang merah tadi ambil 2 siung saja lalu iris tipis-tipis -- Kemudian panaskan minyak secukupnya dan goreng sampai agak kecoklatan dan garing -- Angkat dan tiriskan -- Setelah itu buat bumbu halusnya ya , 1 butir kemiri ,  4 siung bawang putih dan 2 siung bawang merahy dihaluskan  ( blender lebih baik )  -- Setelah itu panaskan sedikit minyak dan tumis bumbu halus tadi bersama dengan serai yang sudah dimemarkan dan jahe yang sudah di iris2. -- Jika kacang merah sudah matang ,  masukkan irisan daging sapi ,  wortel ,  bunga kol ,  macaroni dan bumbu yang sudah di tumis tadi -- Tambahkan garam , lada bubuk ,  penyedap rasa secukupnya sesuai selera -- Tunggu hingga daging sapi matang -- Taburkan daun bawang , daun sop dan bawang goreng -- SOP SIAP DISAJIKAN"
Bakso Sapi Goreng,150 gram daging sapi giling -- 1 / 2 cup tepung sagu -- 3 siung bawang putih  ( cincang halus )  -- 1 siung bawang merah  ( cincang halus )  -- 1 sdt garam -- 1 / 2 sdt gula -- 1 / 2 sdt lada -- 1 sdm minyak -- 1 sdm air dingin --,Campurkan semua bahan. Uleni. -- Bentuk bulat dan goreng dengan api kecil selama 15 menit sambil diaduk. -- Bakso sapi goreng siap dihidangkan ditemani saus sambal. Yummy. --
Cah kangkung sapi,2 ikat kangkung -- Sedikit daging sapi -- 2 siung bawang putih -- 1 butir bawang bombay -- Merica -- biji Cabe merah buang -- Kecap manis -- Saori 2 sacht -- 2 sendok makan Tepung maizena --,"Petik kangkungnya , cuci pisahkan batang dan daun nya -- Seteh itu , iris bawang putih sama bawang bombay nya bunda -- Panaskan minyak , lalu bawang'di tumis"" yah sampai harum ,  -- Masukan daging sapi yang sudah di kasih kecap manis dan saorinya ya bunda ,  tambahkan setengah gelas air ,  tepung maizena biar kental , 2sendok saja yang sudah di larutkan air -- Tumis sampai daging empuk ,  setelah itu masukan batang kangkung sampai layu sedikit ,  setelah itu tambah merica ,  masukan daun nya ,  dan koreksi ,  bisa ditambahkan cabai-Siap disajikan"
Presto tulang sapi bakso dan hati sapi bumbu semur,1 tempat tupperware bakso tulang sapi plus kuah bakso -- 200 gram hati sapi -- 1 batang serai geprek -- 2 buah bunga pala -- 2 biji cengkeh -- 1 lembar kayu manis -- Sedikit jinten hitam -- 1 ruas jahe geprek -- 1 ruas lengkuas geprek -- Bumbu halus: -- 7 siung bawang merah -- 5 siung bawang putih -- 6 buah cabe merah besar -- 6 buah chili padi -- 1 bungkus kerisik -- 3 buah kemiri -- 1 sdt ketumbar bubuk -- Secukupnya garam dan penyedap -- Secukupnya kecap -- Secukupnya air -- Sedikit minyak menumis -- 200 ml santan ayam brand --,Siapkan semua bahan. Cuci bersih dan sisihkan. -- Potong2 bumbu lalu blender sampai halus. Kemudian panaskan kuali dan tumis semua bumbu hingga harum. -- Masukkan bumbu dalam presto yang sudah ada kuah bakso tulang dan juga hati. Kemudian aduk rata. -- Tutup presto dan nyalakan api besar.setelah berbunyi desis dan berputar dari lubang presto. Maka kecilkan api. Dan tunggu presto selama kurang lebih 20 menit. -- Masakan siap disantap
Oseng sawi asin daging sapi,"Bahan : -- 3 ikat sawi asin -- 100 gram daging sapi ,  iris tipis -- 10 buah cabai rawit -- 5 butir bawang merah -- 3 butir bawang merah -- secukupnya Garam ,  gula ,  merica ,  kecap manis dan saus tiram -- ","Potong2 sawi asin ,  sisihkan -- Iris bawang merah ,  bawang putih dan cabai -- Tumis bawang merah dan bawang putih sampai harum -- Masukkan irisan daging sapi tuang sedikit air -- Masukkan sawi asin dan irisan cabai -- Beri garam ,  gula pasir dan merica secukupnya -- Tuang kecap manis dan saus tiram -- Cicipi dan siap disajikan -- "
Kalio Hati Sapi Simple,"500 gr hati sapi -- 5 siung bawang merah -- 4 siung bawang putih -- 5 butir kemiri -- 3 cabe rawit atau sesuai selera -- 1 ruas jahe -- 1 ruas lengkuas -- 2 lembar daun salam -- 1 sdt lada bubuk -- Secukupnya garam ,  gula dan kaldu jamur -- ","Cuci bersih hati sapi ,  buang air rebusan pertama. Ganti air lagi dan rebus hingga matang. Tiriskan. Setelah dingin ,  potong sesuai selera. -- Blender semua bumbu kecuali daun salam. Tumis hingga harum ,  masukkan daun salam ,  tambahkan air. -- Masukkan hati sapi ,  tambahkan air lagi. Tutup wajan hingga bumbu meresap dan air menyusut. Masukkan santan ,  lada bubuk ,  garam ,  gula dan sedikit kaldu jamur. Aduk rata. Masak hingga semua bumbu meresap dan kuah mengental. Angkat dan sajikan. -- "
Daging Sapi Tumis Bawang Bombay,250 gram daging sapi  ( tanpa lemak )  -- 5 siung bawang putih -- 6 siung bawang merah -- 6 buah cabe merah -- 1 buah bawang bombay -- 1 / 2 buah tomat -- 4 sdm kecap manis -- 2 sdm saos tiram -- 1 sdm merica -- 1 buah jeruk nipis -- secukupnya Garam -- secukupnya Air -- Minyak sayur --,"Baluri daging sapi yang telah dipotong dengan jeruk nipis selama 1 jam -- Goreng daging sapi  ( jangan terlalu kering )  ,  lalu tiriskan -- Tumis bawang merah ,  bawang putih ,  dan bawang bombay yang telah diiris-iris hingga harum -- Masukkan cabe merah yang telah diiris memanjang -- Masukkan tomat yang telah diiris -- Tambahkan air secukupnya ,  tunggu hingga mulai mendidih -- Masukkan daging sapi goreng -- Tambahkan kecap manis ,  saos tiram ,  dan garam -- Tutup kuali dan biarkan bumbu meresap pada daging -- Terakhir ,  tambahkan merica dan aduk kembali masakkan -- Koreksi rasa ,  lalu hidangkan pada mangkuk atau piring -- "
Balado bakso sapi,Bakso sapi -- Cabe merah / hijau -- Bawang merah -- Bawang putih -- Garam --,"Belah 4 bakso jangan sampai putus -- Goreng -- haluskan bumbu balado...cabe bawang merah ,  bawang putih dan garam  -- Tumis bumbu haluskan menggunakan minyak bekas goreng bakso -- setelah harum dan matang -- masukkan baksonya dan siap disajikan"
Mesere daging sapi,250 grm daging sapi -- 1 liter air utk merebus daging -- 5 siung besar bawang putih -- 3 butir bawang merah -- 3 buah cabe besar -- 5 buah cabe rawit merah -- 1 / 2 ibu jari terasi kualitas bagus -- 2 biji asam kandis -- 3 lembar daun jeruk purut --  Garam --  royco  --  diabetasol --  Minyak goreng,rebus daging sapi dan sisa kan kaldu hingga empuk dan potong2 mengikuti serat memanjang lalu suwir kasar..sisihkan -- haluskan semua bumbu kecuali garam royco diabetasol daun jeruk dan asam..sisihkan -- Panaskan penggorengan dan tumis bumbu haluskan hingga harum dan masukkan daging sapi suwir dg ditambahkan kaldu..aduk2 agar bumbu tercampur dengan daging -- Tambahkan garam royco diabetasol daun jeruk dan asam kandis..aduk2 dan tunggu hingga air menyusut dan jangan sampai kering.. -- Matikan kompor dan sajikan dalam piring saji -- Mesere daging sapi siap dinikmati --
Sumsum Sapi,"1 Tulang Sapi -- 1 / 4 kg daging sapi bag tetelan / sengkel -- 5 siung bawang merah -- 3 siung bawang putih -- secukupnya kaldu jamur -- 2 tangkai daun bawang  ( potong2 2cm )  -- 2 butir kapulaga -- 2 butir cengkeh -- 1 cm kayu manis -- secukupnya lada putih -- secukupnya garam -- 1 cm Jahe , geprek -- ","Rebus air smp mendidih , masukkan tulang sapi dan daging ,  rebus sampai lemak terangkat , lalu buang air rebusan pertama -- Rebus kembali air smp mendidih , lalu masukkan tulang sapi dan daging sampai empuk dan keluar minyaknya -- Masukkan jahe , kapulaga , cengkeh dan kayu manis -- Haluskan bawang merah dan putih , lalu tumis sebentar , masukkan kedlm rebusan tulang sapi. diamkan sampai benar2 empuk -- Masukkan kaldu jamur ,  garam dan lada , jg daun bawang. koreksi rasa. -- Diamkan lagi sampai meresap kaldunya , cicipi lalu matikan api. sajikan dengan potongan cabai rawit dan tomat merah -- "
Mie Daging Sapi Lezat,"300 gram daging sapi cincang -- 1 siung bawang bombay ,  cincang halus -- 3 siung bawang merah ,  iris -- 1 helai daun bawang ,  iris tipis -- 1 / 2 sdt merica putih bubuk -- 1 / 2 sdt merica hitam bubuk --  Kecap manis -- 2 sdm saos tiram -- 1 sdm Kecap asin --  garam --  gula pasir --  air -- 1 sdt terigu ,  larutkan dengan sedikit air -- Minyak bawang : -- 300 gram kulit ayam -- 6 siung bawang putih ,  geprek -- 100 ml minyak goreng -- Kuah : -- 1 , 5 liter air kaldu rebusan ceker dan tulang ayam -- 3 siung bawang putih geprek -- Secukupnya merica bubuk -- Secukupnya garam -- Secukupnya kaldu bubuk-B51-1 batang daun bawang ,  potong -- Pelengkap : -- Mie telur rebus -- Kecap asin -- Sawi ijo rebus -- Baso sapi rebus -- Mentimun -- Saus sambal -- Kecap -- iris Daun bawang -- Bawang merah goreng -- ","Buat daging kecap : tumis bawang bombay dan bawang putih sampai wangi ,  daging sapi cincang masak sampai berubah warna. Masukkan air dan bumbu2. Masak sampai menyusut air menyusut ,  lalu beri larutan terigu. Aduk lagi sampai rata. Selesai. -- Buat minyak bawang : dalam wajan teflon masak kulit ayam sampai kering ,  beri minyak dan bawang putih ,  biarkan sampai wangi dan menguning bawangnya. Sisihkan. -- Buat kuah : didihkan air kaldu beri bumbu lalu daun bawang  -- Penyajian : ambil 1 sdm minyak bawang ,  1 sdm kecap asin ,  sedikit merica bubuk. Taruh sawi ijo ,  mi basah ,  aduk rata. Beri toping daging kecap ,  baso dll. Sajikan dengan pelEngkap. -- "
Tetelan Sapi Tempe Masak Kecap Cabe Hijau,250 gr tetelan daging sapi -- 1 papan tempe -- Bumbu: -- 8 siung bawang merah -- 4 siung bawang merah -- 100 gr cabe hijau besar -- 1 lembar daun salam -- 1 batang sereh -- 2 cm lengkuas -- 5 sdm kecap manis -- 1 sdm gula pasir -- 1 sdt garam -- 1 / 2 bungkus kaldu bubuk  ( opsional )  --,"Rebus tetelan sapi sampai empuk ,  tiriskan ,  potong dadu. -- Potong dadu tempe lalu goreng sampai layu. -- Iris bawang merah ,  bawang putih ,  dan cabe hijau. Memarkan sereh dan lengkuas. -- Tumis bawang merah dan putih hingga layu ,  masukkan cabe hijau ,  lengkuas ,  daun salam ,  dan sereh. Aduk hingga harum. -- Masukkan tempe dan tetelan sapi ,  aduk sebentar ,  masukkan kecap manis dan sedikit air ,  aduk hingga meresap. -- Terakhir ,  masukkan gula ,  garam ,  dan kaldu bubuk. Aduk rata. Matikan kompor dan sajikan. -- "
Tongseng tetelan sapi santan,1 / 4 gram tetelan sapi -- 1 / 4 bagian kol putih -- 5 batang wortel lokal -- 1 batang daun bawang -- 2 batang serai -- 2 buah tomat -- 7 biji cabai setan -- 3 lembar daun salam -- 1 ruas lengkuas -- 1 bungkus santan kara -- Bumbu halus : -- 4 butir kemiri -- 4 siung bawang merah -- 2 siung bawang putih yang kecil -- sedikit Ketumbar -- 3 sendok makan kecap -- Minyak goreng --,"Haluskan bumbu ,  tumis sampai matang masukan air dan tetelan rebus sampai empuk -- Masukan wortel ,   rebus 15 menit setelah tetelan direbus -- Setelah keliatan empuk masukan kol ,  dan bumbu lainnya masukan santan , kecap koreksi rasa -- � setelah mendidih ,  koreksi rasa , matikan kompor siap di hidangkan... Selamat mencobaa"
Pindang Iga Sapi Khas Palembang,"1 kg iga sapi ,  potong sesuai selera -- Air secukupnya utk merebus -- Bumbu halus : -- 8 bh bawang merah -- 5 bh bawang putih -- 4 cm kunyit -- 3 cm jahe -- 3 cm lengkuas -- 3 cm serai ambil bagian putihnya -- 5 bh cabe rawit merah -- 5 bh cabe merah -- Bahan pelengkap : -- 2 btg serai ,  geprek -- 1 ruas jari lengkuas ,  geprek -- 1 / 2 ruas jari jahe ,  geprek -- 1 btg daun bawang ,  iris memanjang -- 3 sdm air asam jawa -- 1 bh tomat ,  belah 6 -- 1 / 2 sdm gula merah bisa diganti gula putih -- secukupnya Garam dan merica -- 15 bh cabe rawit merah ,  buang buntut -- 1 sdm kecap manis -- ","Cuci bersih iga ,  kemudian rebus iga ,  beri air secukupnya sampai iga tenggelam ,  rebus hingga iga agak empuk ,  tiriskan ,  untuk kaldunya diamkan beberapa saat ,  jika sudah dingin buang lemaknya -- Tumis bumbu halus dengan sedikit minyak ,  masukkan serai ,  jahe ,  lengkuas ,  daun salam ,  tumis sampai harum -- Tambahkan air biasa sebanyak 750 ml ,  kemudian masukkan air asam jawa ,  garam dan merica ,  biarkan hingga mendidih -- Kemudian masukkan iga ,  tambahkan 750ml kuah rebusan iga terlebih dahulu lemak sudah dibuang -- Tambahkan kecap manis dan gula merah ,  aduk rata ,  biarkan iga sampai empuk ,  jika air menyusut boleh ditambahkan air sisa rebusan -- Setelah iga empuk masukkan cabe rawit ,  aduk rata ,  masukkan potongan tomat ,  aduk rata lagi kemudian koreksi rasa ,  biarkan mendidih lagi ,  masukkan daun bawang ,  aduk rata ,  matikan kompor jika sudah mendidih kembali -- Angkat dan sajikan ,  pindang iga khas palembang ini sungguh segar dan kaya akan bumbu ,  nikmat dengan ditemani nasi hangat -- Selamat mencoba -- "
Empal Sapi Asin,500 Gr daging sapi -- 6 Siung bawang putih -- 1 Sdm ketumbar -- Garam -- Gula --,"Haluskan bawang putih dan ketumbar dengan garam , rebus daging masukkan bumbu , rebus hingga daging empuk. -- Goreng dengan minyak goreng hingga kecoklatan --  angkat dan siap disajikan"
Pepes Tahu Daging Sapi,"2 buah tahu putih ukuran besar ,  rendam air panas 1 / 2 jam -- 100 gram daging sapi cincang -- 6 siung bawang putih -- 7 butir bawang merah -- 3 buah cabe merah besar -- 10 buah cabe rawit merah -- 1 ruas kecil kencur --  Garam --  Gula -- Penyedap rasa -- Daun pisang untuk membungkus -- Minyak goreng untuk menumis daging -- ","Tumis daging cincang hingga matang. Sisihkan. -- Haluskan bawang putih ,  bawang merah ,  cabe ,  dan kencur. Beri garam dan gula. -- Haluskan tahu putih. Campur dengan tumisan daging dan bumbu halus. Beri penyedap rasa. Jangan lupa tes rasa. -- Taruh 1 sdm adonan tahu ke daun pisang. Gulung lalu semat dengan tusuk gigi. -- Kukus pepesan hingga matang selama 30 menit. -- Sajikan dengan nasi putih dan sayur bayam. -- Daging sapi bisa diganti pake teri nasi. Kalo pake teri garam dikurangi biar gak terlalu asin. -- "
Kalio Daging Sapi,"1 / 2 kg daging sapi -- 1 / 4 kg kentang -- 1 batang serai -- 3 cm lengkuas  -- 1 lembar daun kunyit -- 2 lembar daun salam -- 3 lembar daun jeruk -- 2 buah cengkeh -- 3 cm kayu manis -- 3 buah kapulaga -- 2 buah kembang lawang -- 200 ml santan kental ,  400 ml santan kara -- Bumbu halus : -- 6 siung bawang merah -- 2 siung bawang putih -- 5 buah cabe merah keriting -- 5 buah cabe merah besar -- 4 buah kemiri  ( sangrai )  -- 1 sdt ketumbar  ( sangrai )  -- 1 / 2 sdt jinten  ( sangrai )  -- 3 cm kunyit  ( bakar )  -- 2 cm jahe -- ","Tumis bumbu halus dan semua rempah hingga harum ,  masukkan daging aduk2 ,  masukkan santan dan air sambil sesekali diaduk2 dengan api kecil. -- Saat daging sudah mulai empuk ,  masukkan santan kental dan kentang sambil terus diaduk2 hingga matang dan air tinggal sedikit -- angkat dan siap disajikan"
Oseng2 Kulit Sapi & Tahu,500 gram kulit sapi -- 4 biji tahu -- 2 keris pete  ( di iris sesui selera )  -- 5 biji bawang merah -- 2 siung bawang putih -- 1 / 2 biji bawang bombai -- 7 biji cabe ijo -- 5 biji cabe merah -- 4 biji cabe rawit -- 1 lembar daun salam -- 2 lembar daun jeruk -- 1 shacet saus tiram --  Kecap -- garam --  gula --,"Rebus kulit sapi hingga 5-7 menit ,  tiriskan dan lumuri minyak goreng agar tidak menyatu -- Tumis bawang merah ,  bawang putih ,  bawang bombai ,  daun jeruk ,  dan daun salam hingga harum -- Masukkan cabe ,  aduk sebentar ,  kemudian masukkan kulit sapi ,  tahu ,  saus tiram ,  kecap ,  garam dan gula -- Tunggu beberapa menit ,  kemudian angkat dan hidangkan -- "
Nasi Goreng Buntut Sapi,2 piring nasi putih -- 3 potong Buntut sapi -- 1 sdm mentega -- 10 buah cabe rawit -- Secukupnya garam -- Secukupnya kaldu bubuk -- Secukupnya kecap manis -- Bumbu halus : -- 4 siung bawang merah -- 2 siung bawang putih -- 2 buah cabe merah --,"Siapkan semua bahan. Potong Buntut sapi sesuai selera dan pisahkan dari tulangnya. Iris cabe rawit dan sisihkan -- Haluskan bumbu halus ,  panaskan mentega lalu tumis bumbu halus hingga matang dan harum. Masukan potongan Buntut sapi dan irisan cabe rawit lalu aduk hingga rata -- Setelah bumbu rata ,  masukkan nasi dan aduk lagi hingga nasi benar-benar terpisah dan tidak ada yang membulat. Tambahkan garam dan kaldu bubuk secukupnya lalu koreksi rasa -- Jika rasa sudah pas ,  tambahkan kecap manis dan aduk lagi hingga merata dan kecap menjadi matang.  ( mengaduk nasi dilakukan secara cepat agar bagian bawahnya tidak gosong ) . Setelah itu Nasi goreng Buntut sapi siap disajikan dengan taburan bawang goreng diatasnya  -- "
Tumis kentang daging sapi,Bumbu : -- 1 sdm gula -- 1 sdt garam -- Penyedap  ( optional )  -- 1 sdm kecap -- 1 sdm saos sambal -- 1 / 4 sdt merica bubuk -- Bahan : -- 1 / 4 kg daging sapi -- 1 buah kentang sedang -- 3 siung bawang merah -- 2 siung bawang putih -- 2 lembar daun salam -- 2 cm lengkuas -- 1 buah tomat kecil -- 3 buah cabe merah keriting -- 3 buah cabe hijau keriting --  cabe rawit merah campur hijau -- 1 batang daun bawang --,"Cuci daging lalu potong dadu. -- Rebus daging sampai empuk. -- Iris semua bahan. -- Potong-potong kentang. -- Goreng kentang sampai berwarna sedikit keemasan. Kalau tidak suka di goreng ,  kentang boleh di rebus. Sesuai selera saja. -- Tumis sampai harum semua bumbu kecuali tomat dan daun bawang. Tambahkan air kaldu secukupnya sisa dari merebus daging. Masukan daging dan kentang. Beri garam ,  gula ,  penyedap ,  kecap ,  merica bubuk dan saos sambal. Setelah air sisa sedikit lalu masukan tomat dan daun bawang."
Tumis buncis bakso sapi,"250 gr buncis muda ,  bersihkan ,  cuci. potong-potong -- 5 buah bakso sapi ,  potong-potong -- 3 buah cabe merah keriting ,  cuci ,  potong serong -- 4 siung bawang merah ,  iris tipis -- 3 siung bawang putih ,  iris tipis -- 1 ruas lengkuas ,  cuci lalu geprek -- 1 lembar daun salam --  Garam --  Gula pasir -- ","Panaskan wajan ,  tuang minyak sayur sedikit. Tumis irisan bawang merah ,  bawang putih ,  cabe merah kriting ,  lengkuas ,  daun salam. Aduk-aduk sampai wangi. -- Tuang potongan buncis dan bakso sapi ,  aduk-aduk sebentar. Tambahkan garam dan gula pasir secukupnya. Aduk kembali. -- Tambahkan sedikit air matang ,  aduk-aduk. Diamkan sebentar agar bumbu meresap. -- Setelah air agak mengering angkat ,  sajikan. -- "
Mun Tahu Daging Sapi,"250 gr Daging Sapi cincang -- 2 buah tahu sutera -- 3 siung bawang putih ,  cincang halus -- 2 batang daun bawang ,  potong2 -- 4 cm jahe ,  geprek -- 3 sdm minyak wijen -- 1 sdm saos tiram -- 1 sdm kecap manis -- 1 sdt kecap maggi -- 1 sdt saos raja rasa -- 1 sdt garam -- Secukupnya gula ,  merica / lada -- Secukupnya kaldu jamur / maggi blok -- 2 sdm maizena  ( di larutkan dengan air )  -- Secukupnya air -- ","Panaskan minyak wijen lalu tumis bawang putih yang telah di cincang halus dan jahe yang telah di geprek sampai harum -- Masukan daging cincang ,  aduk sebentar sampai agak berubah warna. Lalu tambahkan air sedikit  ( kurang lebih 100-200cc )  -- Masukan tahu sutera yang telah di cincang dan daun bawang yang sudah dipotong2. -- Masukan saos tiram ,  kecap manis ,  kecap maggi ,  saos raja rasa ,  garam ,  gula ,  merica / lada ,  kaldu jamur. Lalu aduk. Tambahkan larutan maizena ,  aduk sampai matang dan mengental. -- "
